"","Category","RGS","AC","PValue"
"72","Signaling: phosphatase",96,196,1.56683850333264e-50
"94","Transmembrane protein: unassigned",252,1692,7.31984302296922e-40
"107","Unassigned",637,6343,1.2998889570554e-38
"11","Cytoskeleton: microtubule",67,128,2.43893728118177e-37
"28","Major sperm protein",30,31,3.99844655744065e-23
"78","Signaling: Y kinase",30,73,1.78911990783237e-15
"21","Extracellular material: collagen",28,184,2.63018214559758e-06
"16","Development: germline",8,23,0.000100593354188077
"55","Proteolysis general: metallopeptidase",17,123,0.000590991102272441
"13","Cytoskeleton: paxillin",4,5,0.000612679385764774
"99","Transmembrane transport: ion",4,8,0.00213525291510804
"74","Signaling: S/T kinase",9,66,0.0115560341322936
"101","Transmembrane transport: mitochondrial",6,34,0.0131162112405297
"95","Transmembrane transport: ABC",7,50,0.021764839808778
"19","DNA: transposon function",2,3,0.0220373092288055
"97","Transmembrane transport: chloride channel",6,44,0.0358618797793848
"33","Metabolism: creatine kinase",2,6,0.0559058907047546
"102","Transmembrane transport: monocarboxylate",2,6,0.0559058907047546
"43","Neuronal function: development",3,15,0.0563124881130671
"12","Cytoskeleton: motor protein",5,41,0.0753229730523727
"30","Metabolism: amino acid",8,82,0.0768640411144422
"66","Signaling: casein kinase",2,10,0.115774294542326
"36","Metabolism: lipid",34,526,0.129347873647352
"2","Cell cycle: cyclin",2,11,0.132516680798495
"1","Cell cycle: chromosome dynamics",6,65,0.137906625812358
"49","Nucleic acid: helicase",1,2,0.140823878881807
"39","Metabolism: unassigned",14,192,0.142893552496668
"54","Proteolysis general: inhibitor",6,66,0.144566247581301
"10","Cytoskeleton: innexin",3,24,0.146335602691701
"24","Extracellular material: PGI",5,53,0.157509856785591
"57","Proteolysis general: unassigned",6,68,0.15831161264907
"5","Cell cycle: unassigned",3,26,0.17041351987294
"58","Proteolysis proteasome: 19S",3,26,0.17041351987294
"70","Signaling: lipid",8,102,0.177042003978507
"6","Chaperone: cyclophilin",3,28,0.195516515371845
"100","Transmembrane transport: major facilitator",7,89,0.196155120632486
"29","Metabolism: 1CC",3,29,0.208388094315585
"26","Lysosome: acid phosphatase",3,31,0.234647523353735
"104","Transmembrane transport: solute carrier",13,197,0.240091710391217
"51","Protein modification: lipidation",2,17,0.240566018693142
"14","Development: apoptosis",5,64,0.253849246052161
"73","Signaling: PKC",1,5,0.261805952062475
"76","Signaling: unassigned",5,70,0.311380474062119
"34","Metabolism: glycolysis",3,37,0.315913071015338
"27","Lysosome: Vacuolar ATPase",2,22,0.333235725707057
"79","Stress response: C-type Lectin",15,256,0.361725161600607
"98","Transmembrane transport: heme",1,8,0.365743361514888
"105","Transmembrane transport: sulfate",1,8,0.365743361514888
