"","Category","RGS","AC","PValue"
"1","Metabolism: lipid: binding",5,67,4.87388845786181e-08
"15","Unassigned: regulated by multiple stresses",11,1707,3.30199558821021e-05
"4","Ribosome: subunit",3,92,0.000260139134098658
"9","Stress response: pathogen: saposin ",1,14,0.0184490771275708
"12","Transmembrane transport: calcium channel",1,20,0.0257306257668666
"7","Stress response: C-type Lectin",2,256,0.0420641170371521
"8","Stress response: detoxification: GST",1,52,0.0636405064098623
"10","Transmembrane protein: seven transmembrane receptor: sri ",1,59,0.0717296358253851
"2","Metabolism: lipid: fatty acid",1,68,0.0820247439861691
"5","Signaling: hedgehog-like",1,89,0.105593732219795
"13","Transmembrane transport: major facilitator",1,89,0.105593732219795
"6","Signaling: phosphatase: Y ",1,90,0.106700459945013
"11","Transmembrane protein: unassigned",2,1692,0.61367931629061
"14","Unassigned",4,4113,0.732585673884998
"3","Non-coding RNA: ncRNA",2,7850,0.998537189974138
