"ID","T_Con_N2_set1","T_Con_N2_set2","T_PQ_N2_set1","T_PQ_N2_set2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foldChange","log10padj"
"WBGene00000031",7.9728609270086,17.7051728678228,117.940050099262,186.487319620187,82.5263508785702,3.56953520191878,0.53733223009166,42.8778435389078,5.82668473041289e-11,8.99148172400601e-10,11.8723629883216,9.04616873412501
"WBGene00000033",12.5287814567278,4.42629321695569,47.6525454946515,62.1624398733956,31.6925150104326,2.70414242917302,0.73381377158952,13.2461824798141,0.000273135554320559,0.00109580708128389,6.51670383034864,2.96026589741054
"WBGene00000034",11.389801324298,17.7051728678228,75.0527591540761,94.5387106407892,49.6716109967465,2.54593888818271,0.552782948169849,20.8894518090138,4.86566606222292e-06,2.96803620020273e-05,5.83988066304803,4.5275308064077
"WBGene00000037",28.474503310745,43.156358865318,132.235813747658,140.513015130488,86.0949227635522,1.9287586798521,0.40904584435243,21.8077909736743,3.0137388352913e-06,1.90526092121498e-05,3.80727473643213,4.72004554025907
"WBGene00000039",82.0065695349455,74.1404113840079,493.203845869643,458.447994066293,276.949705213722,2.60655285390795,0.238675814567945,116.974594554749,2.90768452941568e-27,3.22862294213615e-25,6.09046699876935,24.490982671524
"WBGene00000051",12.5287814567278,16.5985995635839,71.4788182419772,56.3347111352648,39.2352275993884,2.12704338428559,0.588273849977042,12.8628002658723,0.000335178658046262,0.00131681788295483,4.36821354059385,2.88047428418537
"WBGene00000111",135.538635759146,94.0587308603085,278.767391143711,185.839794204839,173.551137992001,1.01110546466557,0.340766669668833,8.67850324109162,0.00321985315872735,0.00977807761630383,2.01545485029578,2.00974651972112
"WBGene00000136",191.348662248206,97.3784507730253,602.804700507341,279.73097943028,292.815698239713,1.60847934208445,0.415274880761509,14.3831434948025,0.0001491313406145,0.000638183610024612,3.04930263725895,3.19505435364811
"WBGene00000150",403.198966880149,420.497855610791,918.502814409407,823.004802907144,641.301109951873,1.07785175708645,0.158348951465426,45.7873766252001,1.31810203994008e-11,2.28203176152814e-10,2.11089052135449,9.64167831532516
"WBGene00000169",436.229390720613,300.987938752987,1024.52972813501,650.76304242461,603.127525008304,1.18143249906022,0.26701151576802,19.126185557174,1.22354623297581e-05,6.73474870241771e-05,2.26801864276441,4.17167860472042
"WBGene00000170",820.065695349455,1157.47567623391,5519.35608191801,4780.03261609798,3069.23251739984,2.38006480502937,0.166969335617996,185.963773011401,2.41769149302493e-42,6.15594275327452e-40,5.20560124912253,39.2107054275106
"WBGene00000172",93.3963708592435,79.6732779052025,232.306159286426,222.10121746432,156.869256378798,1.39201587190664,0.287126542285929,23.2219504698907,1.443403751742e-06,9.76015870225546e-06,2.62445138210369,5.01054312055529
"WBGene00000176",358.778741715387,245.659273541041,688.579282397714,994.59903797433,571.904083907118,1.48082293417793,0.253751674596047,32.9939946865351,9.24439750060138e-09,9.76546940549937e-08,2.79107895063532,7.01030687625544
"WBGene00000178",460.147973501639,473.613374214259,974.494555365623,980.353478836677,722.152345479549,1.06599451700765,0.143074673577257,54.9727726377013,1.22211142234298e-13,3.00301854994361e-12,2.093612607116,11.5224419851126
"WBGene00000193",6.8338807945788,1.10657330423892,34.5480954836223,46.6218299050467,22.2775948718717,3.36608286895237,0.945259082666765,12.541088026293,0.00039810043004377,0.00153783603214397,10.3107892825324,2.81308996761083
"WBGene00000214",37073.80331059,33297.8972978535,127877.988462172,94069.9022400773,73079.8978276732,1.65710253162173,0.142921207578907,127.668793714799,1.32627571794898e-29,1.73012085966201e-27,3.15382482902846,26.761923557651
