"","Category","RGS","AC","PValue"
"36","Stress response: C-type Lectin",18,256,1.20843840309052e-12
"41","Stress response: pathogen",14,192,2.13389563964559e-10
"37","Stress response: detoxification",14,206,5.03935336338156e-10
"21","Proteolysis general: cysteine",5,41,1.38006109759207e-05
"9","Lysosome: acid phosphatase",4,31,8.41301939114084e-05
"11","Metabolism: lipid",13,526,9.32258357353285e-05
"20","Proteolysis general: aspartate",4,33,0.000104997077761737
"3","Cytoskeleton: intermediate filament protein",3,12,0.000122254418981146
"48","Transcription: chromatin structure",5,105,0.000865089987210046
"14","Metabolism: polyamine",2,7,0.00150538156385178
"23","Proteolysis general: metallopeptidase",5,123,0.0016943400386571
"22","Proteolysis general: lysozyme",2,11,0.00320478887431188
"10","Metabolism: carbohydrate",3,83,0.0194041899434804
"42","Stress response: unassigned",2,49,0.0444162148884451
"51","Transmembrane transport: ABC",2,50,0.0459950331977801
"5","Development: apoptosis",2,64,0.0700842298141795
"6","Extracellular material: matrix",2,67,0.0756805944061338
"34","Signaling: unassigned",2,70,0.0814125455070424
"43","Trafficking: unassigned",1,14,0.0938707742379171
"4","Cytoskeleton: unassigned",2,77,0.0952727685343416
"39","Stress response: heavy metal",1,16,0.10569904092955
"53","Transmembrane transport: lipid",1,16,0.10569904092955
"33","Signaling: TGF beta",1,17,0.111554869181458
"28","Signaling: hedgehog-like",2,89,0.120400896316522
"16","Metabolism: unassigned",3,192,0.137712171590739
"30","Signaling: lipid",2,102,0.149169786503051
"44","Transcription factor: bZIP",1,24,0.151481038786331
"1","Cell cycle: unassigned",1,26,0.162553791714743
"40","Stress response: oxidative",1,28,0.173481361813409
"38","Stress response: heat",1,30,0.184265661710099
"55","Transmembrane transport: potassium channel",2,121,0.193213275114493
"31","Signaling: MAPK",1,32,0.194908578716809
"24","Proteolysis general: serine",1,34,0.205411975166415
"8","Globin",1,36,0.215777688744826
"2","Cytoskeleton: actin function",1,42,0.246066746259188
"15","Metabolism: short chain dehydrogenase",1,42,0.246066746259188
"52","Transmembrane transport: chloride channel",1,44,0.255899623651469
"57","Transmembrane transport: unassigned",1,51,0.289311056860445
"7","Extracellular material: secreted protein",1,54,0.303164814041815
"17","Muscle function",1,62,0.33879608849071
"25","Proteolysis general: unassigned",1,68,0.36431317136497
"56","Transmembrane transport: solute carrier",2,197,0.374522622847059
"35","Signaling: Y kinase",1,73,0.384820019395576
"54","Transmembrane transport: major facilitator",1,89,0.446081222686329
"58","Unassigned",43,6343,0.449821653269542
"45","Transcription factor: homeodomain",1,97,0.474374182658911
"46","Transcription factor: NHR",2,259,0.509656105325821
"13","Metabolism: nucleotide",1,111,0.5204387189871
"47","Transcription: chromatin modification",1,117,0.53891774489799
"50","Transmembrane protein: unassigned",10,1692,0.670423947113434
"29","Signaling: heteromeric G protein",1,170,0.674034304161285
"32","Signaling: small GTPase",1,183,0.700588015382408
"19","Nucleic acid: binding",1,229,0.778276445710904
"26","Proteolysis proteasome: E3",2,590,0.897708221097189
"12","Metabolism: mitochondria",1,366,0.909135637357224
"49","Transmembrane protein: seven transmembrane receptor",2,1473,0.999210330317306
"27","Pseudogene",3,2081,0.999831127119768
"18","Non-coding RNA: ncRNA",1,7850,1
