"Category","RGS","AC","PValue","Bonferroni"
"Unassigned: regulated by multiple stresses",165,1707,1.50126609789105e-16,3.13764614459229e-14
"Extracellular material: cuticlin",19,35,4.97902158376987e-13,1.0406155110079e-10
"Transcription factor: homeodomain",25,97,8.51560486753125e-11,1.77976141731403e-08
"Stress response: pathogen: unassigned",24,96,3.38106087319858e-10,7.06641722498503e-08
"Extracellular material: collagen",32,184,1.50746467545807e-09,3.15060117170737e-07
"Signaling: hedgehog-like",21,89,9.84639230149821e-09,2.05789599101313e-06
"Transmembrane protein: unassigned",124,1692,1.0647692775712e-06,0.000222536779012381
"Extracellular material: matrix",15,67,2.09808393873318e-06,0.000438499543195235
"Neuronal function: unassigned",12,42,2.56346243723667e-06,0.000535763649382464
"Cytoskeleton: claudin",8,15,3.21356757729669e-06,0.000671635623655008
"Cytoskeleton: cadherin",7,11,5.69043281259597e-06,0.00118930045783256
"Stress response: detoxification: ugt",14,69,1.20441781637114e-05,0.00251723323621568
"Stress response: detoxification: CYP",15,82,1.7662211438282e-05,0.00369140219060094
"Neuronal function: synaptic function: unassigned",9,28,2.09527929640443e-05,0.00437913372948526
"Transcription factor: NHR",29,259,2.55313860840883e-05,0.00533605969157445
"Cytoskeleton: unassigned",14,77,3.51759508738429e-05,0.00735177373263317
"Development: somatic",18,122,3.6207652544239e-05,0.00756739938174595
