"","Category","RGS","AC","PValue"
"20","Extracellular material: collagen",27,184,3.82477402564953e-12
"163","Unassigned: regulated by multiple stresses",95,1707,2.82752553248144e-11
"106","Stress response: detoxification: ugt",13,69,9.90989332081588e-08
"104","Stress response: detoxification: CYP",13,82,5.76097805896663e-07
"150","Transmembrane transport: lipid",7,16,8.70805543552424e-07
"51","Metabolism: short chain dehydrogenase",9,42,3.59294484663099e-06
"91","Signaling: hedgehog-like",12,89,6.93932608320808e-06
"130","Transcription factor: ZF",9,53,1.88091240980423e-05
"103","Stress response: C-type Lectin",19,256,5.76925521018207e-05
"21","Extracellular material: cuticlin",7,35,6.38201757652049e-05
"127","Transcription factor: NHR",19,259,6.66076734797105e-05
"8","Cytoskeleton: claudin",5,15,9.62466179472658e-05
"155","Transmembrane transport: solute carrier",15,197,0.000252419080831671
"60","Neuronal function: synaptic function: neuropeptide",12,139,0.000354917722262059
"7","Cytoskeleton: cadherin",4,11,0.000381349140512229
"25","Extracellular material: PGI",7,53,0.00062350906980879
"100","Signaling: TGF beta",4,17,0.00148809169729686
"142","Transmembrane protein: unassigned",63,1692,0.00222738822926829
"82","Proteolysis general: unassigned",7,68,0.00233625680836253
"17","Development: somatic",9,122,0.00489942916550712
"107","Stress response: detoxification: unassigned",2,3,0.00559185076454248
"33","Metabolism: carbohydrate",7,83,0.00642645103264609
"3","Chaperone: cyclophilin",4,28,0.00723286333588038
"114","Stress response: pathogen: lipid",2,4,0.00825287074614396
"23","Extracellular material: matrix",6,67,0.00869671958407529
"78","Proteolysis general: inhibitor: serine",4,30,0.00897734443519676
"90","Signaling: FGF",2,6,0.0149153434605849
"61","Neuronal function: synaptic function: neurotransmitter metabolism",3,19,0.0155399574387019
"123","Transcription factor: bHLH",4,36,0.0157777002273039
"43","Metabolism: lipid: o-acyl transferase",5,56,0.0162436060778141
"145","Transmembrane transport: amino acid",4,37,0.0171541874516591
"45","Metabolism: lipid: sterol",5,59,0.0196231833680165
"74","Proteolysis general: aspartate: cathepsin",3,22,0.0219947285321516
"158","Unassigned",125,4113,0.0227787393488031
"147","Transmembrane transport: chloride channel",4,44,0.0288692687909337
"92","Signaling: heteromeric G protein: arrestin",3,26,0.0325383676058955
"30","Metabolism: 1CC: transsulfuration",2,10,0.0329703341871893
"111","Stress response: oxidative",3,28,0.0386315319547276
"80","Proteolysis general: metallopeptidase",7,123,0.0398472127589263
